#,German,English,Srpski
5368,noch,nor,нити
5369,doppelt,double,удвостручити
5370,Sitz,seat,седиште
5371,fortsetzen,continue,Настави
5372,Block,block,блокирати
5373,Tabelle,chart,графикон
5374,Hut,hat,шешир
5375,verkaufen,sell,продати
5376,Erfolg,success,успех
5377,Firma,company,компанија
5378,subtrahieren,subtract,одузимање
5379,Veranstaltung,event,догађај
5380,besondere,particular,посебан
5381,viel,deal,договор
5382,schwimmen,swim,пливати
5383,Begriff,term,портран
5384,Gegenteil,opposite,насупрот
5385,Frau,wife,жена
5386,Schuh,shoe,ципела
5387,Schulter,shoulder,раме
5388,Verbreitung,spread,ширење
5389,arrangieren,arrange,уредити
5390,Lager,camp,камп
5391,erfinden,invent,изумети
5392,Baumwolle,cotton,памук
5393,geboren,born,рођен
5394,bestimmen,determine,одредити
5395,Quart,quart,надајство
5396,neun,nine,девет
5397,Lastwagen,truck,камион
5398,Lärm,noise,бука
5399,Ebene,level,навођење
5400,Chance,chance,шанса
5401,sammeln,gather,скупити
5402,Geschäft,shop,продавница
5403,Stretch,stretch,истегнути
5404,werfen,throw,бацање
5405,Glanz,shine,сијати
5406,Immobilien,property,имовина
5407,Spalte,column,колона
5408,Molekül,molecule,молекула
5409,wählen,select,одабрати
5410,falsch,wrong,погрешан
5411,grau,gray,сива
5412,Wiederholung,repeat,понављање
5413,erfordern,require,захтевати
5414,breit,broad,широк
5415,vorbereiten,prepare,припремити
5416,Salz,salt,со
5417,Nase,nose,нос
5418,mehreren,plural,множина
5419,Zorn,anger,љутња
5420,Anspruch,claim,потраживање
5421,Kontinent,continent,континент
5422,Ich,I,Ја
5423,ist,is,јесте
5424,ich,I,Ја
5425,nicht,not,не
5426,Sie,She,Она
5427,du,you,ти
5428,das,the,тхе
5429,die,the,тхе
5430,es,it,то
5431,und,and,и
5432,der,the,тхе
5433,zu,to,до
5434,sie,she,она
5435,Das,The,Тхе
5436,ein,a,а
5437,in,in,у
5438,wir,we,ми
5439,Du,You,ти
5440,mir,me,ја
5441,mit,with,са
5442,Was,What,Шта
5443,den,the,тхе
5444,mich,me,ја
5445,was,What,Шта
5446,auf,on,на
5447,dass,that,то
5448,er,he,он
5449,eine,one,један
5450,Es,It,То
5451,hat,has,је
5452,Wir,We,Ми
5453,Und,And,И
5454,so,so,тако
5455,sind,are,су
5456,von,from,од
5457,dich,you,ти
5458,war,was,био
5459,haben,have,имати
5460,für,for,за
5461,Ja,Yes,да
5462,hier,here,овде
5463,an,at,у
5464,habe,have,имати
5465,Er,He,Он
5466,bin,am,сам
5467,wie,How,како
5468,noch,still,још увек
5469,dir,you,ти
5470,uns,us,нас
5471,sich,itself,сама
5472,Die,The,Тхе
5473,nur,only,само
5474,einen,a,а
5475,Nein,No,Не
5476,dem,dem,дем
5477,ihn,him,њега
5478,auch,also,такође
5479,hast,have,имати
5480,sein,be,бити
5481,ihr,her,њеној
5482,da,there,тамо
5483,aus,out of,од
5484,kann,can,моћи
5485,aber,but,али
5486,Aber,But,Али
5487,schon,already,већ
5488,wenn,if,ако
5489,wird,becomes,постаје
5490,um,around,око
5491,Wie,How,како
5492,als,as,као
5493,bist,are,су
5494,im,in the,у
5495,mal,just,само
5496,doch,but,али
5497,gut,good,Добро
5498,meine,mine,мин
5499,jetzt,now,Сада
5500,weiß,white,бео
5501,Wenn,If,Ако
5502,werden,become,постати
5503,Der,The,Тхе
5504,nach,after,после
5505,ja,Yes,да
5506,Oh,Oh,Ох
5507,oder,or,или
5508,dann,then,онда
5509,will,want,жен
5510,mein,my,мој
5511,mehr,more,више
5512,keine,no,не
5513,etwas,something,нешто
5514,alles,everything,све
5515,muss,must,морам
5516,immer,always,увек
5517,nichts,nothing,ништа
5518,man,man,човек
5519,wieder,again,опет
5520,bei,at,у
5521,hab,have,имати
5522,machen,make,направити
5523,vor,before,пре него што
5524,Mann,Man,Човек
5525,ihm,him,њега
5526,einem,a,а
5527,tun,do,урадите
5528,zum,for the,за
5529,können,can,моћи
5530,sagen,say,рећи
5531,werde,become,постати
5532,denn,because,јер
5533,Ist,Is,Јесте
5534,Ein,A,А
5535,Warum,Why,Зашто
5536,einer,one,један
5537,gehen,go,ићи
5538,sehen,see,видети
5539,sehr,very,врло
5540,geht,goes,иде
5541,alle,all,све
5542,über,above,горе
5543,müssen,must,морам
5544,diese,this,ово
5545,einfach,simply,једноставно
5546,euch,you,ти
5547,des,of,од
5548,nie,never,невер
5549,Also,So,Тако
5550,Wo,Where,Где
5551,los,Come on,Хајде
5552,Zeit,Time,време
5553,Ihnen,Them,Њих
5554,gibt,gives,даје
5555,wirklich,really,заиста
5556,Hey,Hey,Хеј
5557,Danke,Thanks,Хвала
5558,deine,your,твој
5559,würde,would,би
5560,soll,should,требало би
5561,Da,There,Тамо
5562,hatte,had,јела
5563,Hier,Here,Овде
5564,wissen,knowledge,знање
5565,bitte,please,Молимо вас
5566,viel,much,много
5567,Dann,Then,Онда
5568,So,So,Тако
5569,gesagt,said,рекао
5570,Ihr,Her,Њеној
5571,am,at the,у
5572,kein,no,не
5573,Komm,Come,доћи
5574,Wer,Who,СЗО
5575,zurück,back,назад
5576,wurde,became,постао
5577,In,In,У
5578,wollte,wanted,желео
5579,Frau,Woman,Жена
5580,Leben,Life,Живот
5581,wäre,were,су
5582,wo,where,где
5583,damit,with it,с тим
5584,Nicht,Not,Не
5585,Gott,God,Бог
5586,Leute,People,Људи
5587,kannst,can,моћи
5588,heute,today,данас
5589,meinen,mean,значити
5590,dieser,this,ово
5591,dein,your,твој
5592,kommt,comes,долази
5593,kommen,come,доћи
5594,willst,want,жен
5595,Na,N/a,Н / А
5596,wollen,want,жен
5597,sicher,secure,безбедан
5598,ganz,quite,прилично
5599,Jetzt,Now,Сада
5600,Mein,My,Мој
5601,Mr,Mr,господин
5602,also,so,тако
5603,zur,to,до
5604,Hast,Have,имати
5605,Gut,Good,Добро
5606,hätte,would have,би имао
5607,weil,because,јер
5608,tut,does,да
5609,Hallo,Hello,Здраво
5610,Okay,OK,У реду
5611,macht,might,моћ
5612,waren,were,су
5613,bis,until,све док
5614,Vielleicht,Perhaps,Можда
5615,könnte,could,могао
5616,Eine,One,Један
5617,Bitte,Please,Молимо вас
5618,weg,away,утакмица
5619,seine,his,његов
5620,lassen,let,дозволити
5621,Vater,Father,Отац
5622,gesehen,seen,виђен
5623,Nun,Well,Добро
5624,gerade,straight,равно
5625,Alles,Everything,Све
5626,glaube,believe,веровати
5627,Tag,Day,Дан
5628,ab,away,утакмица
5629,Geld,Money,Новац
5630,gemacht,made,направљен
5631,nein,no,не
5632,Sir,Sir,господине
5633,sollte,should,требало би
5634,sagte,said,рекао
5635,keinen,no,не
5636,durch,through,кроз
5637,zwei,two,два
5638,diesen,this,ово
5639,passiert,happened,десило
5640,wohl,probably,вероватно
5641,vielleicht,perhaps,можда
5642,ihre,her,њеној
5643,Mutter,Mother,Мајка
5644,reden,talk,разговарати
5645,anderen,others,други
5646,dachte,thought,мисао
5647,daß,that,то
5648,möchte,want,жен
5649,wirst,become,постати
5650,gehört,heard,слушао
5651,weißt,white,бео
5652,Keine,No,Не
5653,raus,out,излази
5654,Meine,Mine,Мин
5655,paar,couple,пар
5656,besser,better,боље
5657,ob,if,ако
5658,her,from,од
5659,musst,must,морам
5660,Ordnung,Order,Наредити
5661,meiner,mine,мин
5662,klar,clear,јасно
5663,ihnen,them,њих
5664,Los,Come on,Хајде
5665,diesem,this,ово
5666,meinem,my,мој
5667,lange,long,дугачак
5668,Lass,Let,Дозволити
5669,dieses,this,ово
5670,helfen,help,помоћ
5671,unsere,our,наш
5672,Weg,Away,Утакмица
5673,selbst,himself,себе
5674,Nur,Only,Само
5675,finden,find,пронаћи
5676,Mal,Just,Само
5677,jemand,someone,неко
5678,denke,think,размислити
5679,Ach,Oh,Ох
5680,Nacht,Night,ноћ
5681,genau,Exactly,Баш тако
5682,gar,even,Чак
5683,sagt,says,казе
5684,Welt,World,Свет
5685,Auf,On,на
5686,Mädchen,Girl,Девојка
5687,ins,into the,Инто тхе
5688,hin,there,тамо
5689,vom,from the,од
5690,schön,nice,леп
5691,warum,Why,Зашто
5692,weiter,further,даље
5693,Leid,Sorrow,Туга
5694,gleich,even,Чак
5695,wer,who,СЗО
5696,Man,Man,Човек
5697,ohne,without,без
5698,Menschen,People,Људи
5699,deinen,yours,твој
5700,leid,sorrow,туга
5701,Wieso,How come,Како то
5702,dort,there,тамо
5703,Als,As,Као
5704,Hause,Home,Кућа
5705,sollten,should,требало би
5706,davon,of that,од тога
5707,zusammen,together,заједно
5708,geben,give,дати
5709,Ok,OK,У реду
5710,Hör,Listening,Слушање
5711,machst,do,урадите
5712,Freund,Friend,Пријатељ
5713,richtig,correct,тачан
5714,Angst,Fear,Бојати се
5715,Bist,Are,Су
5716,Tut,Does,Да
5717,Mit,With,Са
5718,viele,many,много
5719,sieht,sees,види
5720,Haus,House,Кућу
5721,tot,dead,мртав
5722,sollen,should,требало би
5723,ganze,whole,целина
5724,andere,other,други
5725,getan,did,пре
5726,okay,OK,У реду
5727,rein,pure,чист
5728,Diese,This,Ово
5729,Moment,moment,момент
5730,bleiben,remain,остати
5731,brauchen,need,потреба
5732,Weil,Because,Јер
5733,Kinder,Children,Деца
5734,unter,under,испод
5735,Arbeit,Work,Рад
5736,Für,For,За
5737,Problem,problem,проблем
5738,dafür,for that,за то
5739,Herr,Mister,Господин
5740,Haben,Have,имати
5741,wegen,because of,због тога што
5742,geht's,Is it possible,да ли је могуће
5743,liebe,love,љубав
5744,genug,enough,довољно
5745,dabei,included,укључен
5746,bringen,bring,довести
5747,Ihre,Her,Њеној
5748,ne,ne,не
5749,gegen,against,против
5750,Weißt,White,бео
5751,Sag,say,рећи
5752,schnell,fast,брз
5753,nun,so,тако
5754,eines,one,један
5755,brauche,need,потреба
5756,Abend,Evening,Вече
5757,hatten,had,јела
5758,Jahre,Years,Година
5759,Mach,Make,Направити
5760,Bruder,Brother,Брат
5761,Sache,Matter,Материсати
5762,hören,hear,чути
5763,komm,come,доћи
5764,Sohn,Son,Сине
5765,seit,since,Од
5766,Morgen,Morning,Јутро
5767,drei,three,три
5768,steht,stands,штандови
5769,Scheiße,Fuck,Јебати
5770,mag,like,као
5771,sei,be,бити
5772,unser,our,наш
5773,konnte,could,могао
5774,habt,have,имати
5775,Oder,Or,Или
5776,einmal,once,једном
5777,heißt,is called,се зове
5778,OK,OK,У реду
5779,Willst,Want,Жен
5780,Kopf,Head,Глава
5781,Hilfe,Help,Помоћ
5782,Familie,Family,Породица
5783,Geh,Walk,Ходати
5784,Baby,infant,дојенчати
5785,Dich,You,ти
5786,Sind,Are,Су
5787,erst,first,први
5788,fertig,complete,комплетан
5789,gefunden,found,нашао
5790,seid,are,су
5791,kam,came,Дошао
5792,nehmen,take,преузети
5793,morgen,morning,јутро
5794,sprechen,speak,говорити
5795,Mir,Me,Ја
5796,sofort,immediately,одмах
5797,Kann,Can,Моћи
5798,Hat,Has,Је
5799,Jahren,Years,Година
5800,Kind,child,дете
5801,seinen,his,његов
5802,Genau,Exactly,Баш тако
5803,daran,to it,на то
5804,Junge,Boy,Дечак
5805,Minuten,Minute,Минут
5806,bevor,before,пре него што
5807,Stadt,City,Град
5808,beim,at the,у
5809,sterben,die,умрети
5810,warst,beings,бића
5811,Recht,Right,Јел тако
5812,glauben,believe,веровати
5813,Warte,Wait,Чекати
5814,darüber,about it,о томе
5815,deiner,yours,твој
5816,deinem,yours,твој
5817,Ende,End,Крај
5818,He,Hey,Хеј
5819,Dinge,Things,Ствари
5820,Namen,Names,Имена
5821,wahr,TRUE,истина
5822,Alle,All,Све
5823,allein,alone,сама
5824,Natürlich,Naturally,Природно
5825,töten,kill,убити
5826,Nichts,Nothing,Ништа
5827,Wirklich,Really,Заиста
5828,bekommen,receive,примити
5829,Männer,Men,мушкарци
5830,vergessen,forget,заборавити
5831,Doch,But,Али
5832,dazu,in addition,додатно
5833,gab,gave,давао
5834,später,later,касније
5835,wusste,knew,знати
5836,Augen,Eyes,Очи
5837,Dank,Thanks to,Захваљујући
5838,Freunde,Friends,Пријатељи
5839,Jungs,guys,момци
5840,halten,hold,држати
5841,warten,wait,чекати
5842,Glück,Luck,Срећа
5843,beide,both,и једно и друго
5844,gute,good,Добро
5845,Dein,Your,Твој
5846,kennen,know,знати
5847,Deine,Your,Твој
5848,n,n,н
5849,Hi,Hi,Здраво
5850,Dr,Dr,Др
5851,Auto,automobile,аутомобилски
5852,sage,legend,легенда
5853,gehe,go,ићи
5854,komme,come,доћи
5855,Dir,You,ти
5856,mache,make,направити
5857,Von,From,Од
5858,Uhr,Clock,Сат
5859,sehe,see,видети
5860,Teufel,Devil,Враг
5861,sonst,otherwise,иначе
5862,Art,Kind,Врста
5863,gern,gladly,врло радо
5864,Liebe,Love,Љубав
